caller_file,caller_symbol,target_file,target_symbol,confidence,line_start,line_end,target_evidence
scripts/generate-codebase-export.mjs,findImportTarget,scripts/generate-codebase-export.mjs,isInside,medium,215,215,scripts/generate-codebase-export.mjs:46
scripts/generate-codebase-export.mjs,findImportTarget,scripts/generate-codebase-export.mjs,relativePath,medium,216,216,scripts/generate-codebase-export.mjs:50
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:fileByPath.has,fileByPath.has,low,217,217,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:path.endsWith,path.endsWith,low,218,218,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:fileByPath.has,fileByPath.has,low,218,218,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:path.slice,path.slice,low,218,218,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:path.slice,path.slice,low,218,218,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:path.endsWith,path.endsWith,low,219,219,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:fileByPath.has,fileByPath.has,low,219,219,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:path.slice,path.slice,low,219,219,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:path.slice,path.slice,low,219,219,
scripts/generate-codebase-export.mjs,importNames,unresolved:names.push,names.push,low,226,226,
scripts/generate-codebase-export.mjs,importNames,unresolved:ts.isNamespaceImport,ts.isNamespaceImport,low,228,228,
scripts/generate-codebase-export.mjs,importNames,unresolved:names.push,names.push,low,228,228,
scripts/generate-codebase-export.mjs,importNames,unresolved:ts.isNamedImports,ts.isNamedImports,low,229,229,
scripts/generate-codebase-export.mjs,importNames,unresolved:names.push,names.push,low,230,230,
scripts/generate-codebase-export.mjs,importNames,unresolved:names.push,names.push,low,232,232,
scripts/generate-codebase-export.mjs,importNames,unresolved:names.push,names.push,low,233,233,
scripts/generate-codebase-export.mjs,importNames,unresolved:names.join,names.join,low,234,234,
scripts/generate-codebase-export.mjs,importNames,unresolved:node.moduleSpecifier.getText,node.moduleSpecifier.getText,low,234,234,
scripts/generate-codebase-export.mjs,buildSymbols,scripts/generate-codebase-export.mjs,sourceFilePath,medium,253,253,scripts/generate-codebase-export.mjs:170
scripts/generate-codebase-export.mjs,buildSymbols,unresolved:declarationKinds.has,declarationKinds.has,low,256,256,
scripts/generate-codebase-export.mjs,buildSymbols,scripts/generate-codebase-export.mjs,nodeName,medium,257,257,scripts/generate-codebase-export.mjs:139
scripts/generate-codebase-export.mjs,buildSymbols,scripts/generate-codebase-export.mjs,lineRange,medium,259,259,scripts/generate-codebase-export.mjs:133
scripts/generate-codebase-export.mjs,buildSymbols,unresolved:rows.push,rows.push,low,260,268,
scripts/generate-codebase-export.mjs,buildSymbols,scripts/generate-codebase-export.mjs,nodeKind,medium,264,264,scripts/generate-codebase-export.mjs:145
scripts/generate-codebase-export.mjs,buildSymbols,scripts/generate-codebase-export.mjs,hasExportModifier,medium,266,266,scripts/generate-codebase-export.mjs:149
scripts/generate-codebase-export.mjs,buildSymbols,scripts/generate-codebase-export.mjs,nodeName,medium,271,271,scripts/generate-codebase-export.mjs:139
scripts/generate-codebase-export.mjs,buildSymbols,"unresolved:[
        ts.SyntaxKind.ClassDeclaration,
        ts.SyntaxKind.InterfaceDeclaration,
        ts.SyntaxKind.FunctionDeclaration,
        ts.SyntaxKind.MethodDeclaration,
      ].includes","[
        ts.SyntaxKind.ClassDeclaration,
        ts.SyntaxKind.InterfaceDeclaration,
        ts.SyntaxKind.FunctionDeclaration,
        ts.SyntaxKind.MethodDeclaration,
      ].includes",low,272,277,
scripts/generate-codebase-export.mjs,buildSymbols,unresolved:ts.forEachChild,ts.forEachChild,low,278,278,
scripts/generate-codebase-export.mjs,buildSymbols,scripts/generate-codebase-export.mjs,visit,medium,278,278,scripts/generate-codebase-export.mjs:71
scripts/generate-codebase-export.mjs,buildSymbols,scripts/generate-codebase-export.mjs,visit,medium,280,280,scripts/generate-codebase-export.mjs:71
scripts/generate-codebase-export.mjs,buildImports,scripts/generate-codebase-export.mjs,sourceFilePath,medium,288,288,scripts/generate-codebase-export.mjs:170
scripts/generate-codebase-export.mjs,buildImports,unresolved:ts.isImportDeclaration,ts.isImportDeclaration,low,291,291,
